Estancia media;Periodo;Total
Estancia media;2025M04;0,5
Estancia media;2025M03;0,06
Estancia media;2025M02;-1,33
Estancia media;2025M01;0,5
Estancia media;2024M12;1,17
Estancia media;2024M11;-0,05
Estancia media;2024M10;0,98
Estancia media;2024M09;1,11
Estancia media;2024M08;0,16
Estancia media;2024M07;1,97
Estancia media;2024M06;2,16
Estancia media;2024M05;-0,23
Estancia media;2024M04;1,19
Estancia media;2024M03;3,91
Estancia media;2024M02;1,25
Estancia media;2024M01;1,07
Estancia media;2023M12;-0,96
Estancia media;2023M11;-0,43
Estancia media;2023M10;1,78
Estancia media;2023M09;0,26
Estancia media;2023M08;-1,67
Estancia media;2023M07;-0,78
Estancia media;2023M06;-1,62
Estancia media;2023M05;1,33
Estancia media;2023M04;-1,6
Estancia media;2023M03;-3,81
Estancia media;2023M02;6,2
Estancia media;2023M01;2,55
Estancia media;2022M12;1,42
Estancia media;2022M11;1,49
Estancia media;2022M10;4,14
Estancia media;2022M09;4,74
Estancia media;2022M08;8,11
Estancia media;2022M07;11,1
Estancia media;2022M06;27,17
Estancia media;2022M05;39,19
Estancia media;2022M04;36,9
Estancia media;2022M03;43,54
Estancia media;2022M02;28,41
Estancia media;2022M01;28,53
Estancia media;2021M12;18,28
Estancia media;2021M11;14,15
Estancia media;2021M10;38,13
Estancia media;2021M09;32,95
Estancia media;2021M08;15,88
Estancia media;2021M07;15,88
Estancia media;2021M06;26,94
Estancia media;2021M05;-21,59
Estancia media;2021M04;..
Estancia media;2021M03;-35,69
Estancia media;2021M02;-24,25
Estancia media;2021M01;-23,61
Estancia media;2020M12;-15,79
Estancia media;2020M11;-11,47
Estancia media;2020M10;-31,41
Estancia media;2020M09;-31,27
Estancia media;2020M08;-20,9
Estancia media;2020M07;-25,3
Estancia media;2020M06;-39,44
Estancia media;2020M05;-9,38
Estancia media;2020M04;-100
Estancia media;2020M03;10,33
Estancia media;2020M02;-1,14
Estancia media;2020M01;-3,04
Estancia media;2019M12;-0,9
Estancia media;2019M11;-2,68
Estancia media;2019M10;-3,53
Estancia media;2019M09;-0,86
Estancia media;2019M08;-2,49
Estancia media;2019M07;-2,35
Estancia media;2019M06;-2
Estancia media;2019M05;-4,51
Estancia media;2019M04;-1,08
Estancia media;2019M03;-1,84
Estancia media;2019M02;-2,72
Estancia media;2019M01;-1,54
Estancia media;2018M12;-1,75
Estancia media;2018M11;-2,58
Estancia media;2018M10;-1,41
Estancia media;2018M09;-1,12
Estancia media;2018M08;-2,04
Estancia media;2018M07;-0,38
Estancia media;2018M06;-3,18
Estancia media;2018M05;-0,45
Estancia media;2018M04;-0,87
Estancia media;2018M03;-1,8
Estancia media;2018M02;-1,26
Estancia media;2018M01;-1,66
Estancia media;2017M12;-3,39
Estancia media;2017M11;-2,4
Estancia media;2017M10;-0,94
Estancia media;2017M09;-2,17
Estancia media;2017M08;-0,9
Estancia media;2017M07;-1,03
Estancia media;2017M06;1,83
Estancia media;2017M05;0,54
Estancia media;2017M04;0,36
Estancia media;2017M03;-2,83
Estancia media;2017M02;-2,44
Estancia media;2017M01;-1,18
Estancia media;2016M12;2,18
Estancia media;2016M11;2,84
Estancia media;2016M10;2,04
Estancia media;2016M09;-0,74
Estancia media;2016M08;0,03
Estancia media;2016M07;-1,41
Estancia media;2016M06;-0,08
Estancia media;2016M05;2,95
Estancia media;2016M04;-1
Estancia media;2016M03;0,78
Estancia media;2016M02;0,19
Estancia media;2016M01;-1,66
Estancia media;2015M12;0,7
Estancia media;2015M11;-2
Estancia media;2015M10;-1,61
Estancia media;2015M09;-1,34
Estancia media;2015M08;-0,37
Estancia media;2015M07;-1,42
Estancia media;2015M06;-3,09
Estancia media;2015M05;-1,52
Estancia media;2015M04;-1,41
Estancia media;2015M03;-3,69
Estancia media;2015M02;-1,34
Estancia media;2015M01;-3,49
Estancia media;2014M12;-3,73
Estancia media;2014M11;-0,45
Estancia media;2014M10;-1,93
Estancia media;2014M09;-1,35
Estancia media;2014M08;-2,08
Estancia media;2014M07;-2,51
Estancia media;2014M06;-1,09
Estancia media;2014M05;-3,56
Estancia media;2014M04;0,27
Estancia media;2014M03;3,03
Estancia media;2014M02;-1,16
Estancia media;2014M01;1,05
Estancia media;2013M12;2,01
Estancia media;2013M11;1,66
Estancia media;2013M10;1,69
Estancia media;2013M09;0,39
Estancia media;2013M08;-1,33
Estancia media;2013M07;0,44
Estancia media;2013M06;0,26
Estancia media;2013M05;1,91
Estancia media;2013M04;0,89
Estancia media;2013M03;1,17
Estancia media;2013M02;1,35
Estancia media;2013M01;3,03
Estancia media;2012M12;0,75
Estancia media;2012M11;-3,02
Estancia media;2012M10;2,07
Estancia media;2012M09;1,66
Estancia media;2012M08;0,83
Estancia media;2012M07;2,92
Estancia media;2012M06;1,05
Estancia media;2012M05;0,76
Estancia media;2012M04;-0,93
Estancia media;2012M03;-2,87
Estancia media;2012M02;1,02
Estancia media;2012M01;0,65
Estancia media;2011M12;3,24
Estancia media;2011M11;2,96
Estancia media;2011M10;3,53
Estancia media;2011M09;1,7
Estancia media;2011M08;0,77
Estancia media;2011M07;1,07
Estancia media;2011M06;2,51
Estancia media;2011M05;2,74
Estancia media;2011M04;3,33
Estancia media;2011M03;4,18
Estancia media;2011M02;2,01
Estancia media;2011M01;1,67
Estancia media;2010M12;-0,36
Estancia media;2010M11;1,05
Estancia media;2010M10;-0,32
Estancia media;2010M09;0,28
Estancia media;2010M08;1,3
Estancia media;2010M07;-1,33
Estancia media;2010M06;-1,04
Estancia media;2010M05;0
Estancia media;2010M04;-2,68
Estancia media;2010M03;-0,18
Estancia media;2010M02;0,35
Estancia media;2010M01;-0,98
Estancia media;2009M12;-2,26
Estancia media;2009M11;-0,34
Estancia media;2009M10;-2,2
Estancia media;2009M09;-0,39
Estancia media;2009M08;0,51
Estancia media;2009M07;-0,06
Estancia media;2009M06;1,73
Estancia media;2009M05;-0,61
Estancia media;2009M04;3,27
Estancia media;2009M03;0,84
Estancia media;2009M02;-0,43
Estancia media;2009M01;2,66
Estancia media;2008M12;-1,36
Estancia media;2008M11;1,69
Estancia media;2008M10;1,58
Estancia media;2008M09;0,27
Estancia media;2008M08;0,22
Estancia media;2008M07;0,25
Estancia media;2008M06;0,7
Estancia media;2008M05;0,51
Estancia media;2008M04;-1,15
Estancia media;2008M03;2,55
Estancia media;2008M02;1,3
Estancia media;2008M01;-1,18
Estancia media;2007M12;-0,46
Estancia media;2007M11;-0,97
Estancia media;2007M10;-1,99
Estancia media;2007M09;-1,61
Estancia media;2007M08;-1,84
Estancia media;2007M07;-0,69
Estancia media;2007M06;-3,09
Estancia media;2007M05;-1,66
Estancia media;2007M04;0,98
Estancia media;2007M03;-0,25
Estancia media;2007M02;-0,51
Estancia media;2007M01;-1,46
Estancia media;2006M12;1,6
Estancia media;2006M11;1,04
Estancia media;2006M10;0,49
Estancia media;2006M09;-0,58
Estancia media;2006M08;-0,04
Estancia media;2006M07;3,67
Estancia media;2006M06;1,95
Estancia media;2006M05;1,2
Estancia media;2006M04;2,55
Estancia media;2006M03;-1,91
Estancia media;2006M02;-3,06
Estancia media;2006M01;-1,71
Estancia media;2005M12;-2,2
Estancia media;2005M11;-1,88
Estancia media;2005M10;1,58
Estancia media;2005M09;-0,98
Estancia media;2005M08;-0,61
Estancia media;2005M07;-1,19
Estancia media;2005M06;-1,42
Estancia media;2005M05;-0,24
Estancia media;2005M04;-4,75
Estancia media;2005M03;-0,86
Estancia media;2005M02;-0,73
Estancia media;2005M01;0,12
Estancia media;2004M12;1,05
Estancia media;2004M11;-0,86
Estancia media;2004M10;-4,09
Estancia media;2004M09;-3,49
Estancia media;2004M08;-4,1
Estancia media;2004M07;-4,15
Estancia media;2004M06;-4,89
Estancia media;2004M05;-5,27
Estancia media;2004M04;-2,98
Estancia media;2004M03;-4,57
Estancia media;2004M02;-3,8
Estancia media;2004M01;-2,84
Estancia media;2003M12;-3,96
Estancia media;2003M11;-3,05
Estancia media;2003M10;-1,65
Estancia media;2003M09;-2
Estancia media;2003M08;1,76
Estancia media;2003M07;-2,35
Estancia media;2003M06;-3,31
Estancia media;2003M05;-2,17
Estancia media;2003M04;-0,06
Estancia media;2003M03;-1,17
Estancia media;2003M02;-1,55
Estancia media;2003M01;0,03
Estancia media;2002M12;-2,94
Estancia media;2002M11;-4,71
Estancia media;2002M10;-3,99
Estancia media;2002M09;-2,88
Estancia media;2002M08;-2,34
Estancia media;2002M07;-3,32
Estancia media;2002M06;-1,53
Estancia media;2002M05;-3,09
Estancia media;2002M04;-3,33
Estancia media;2002M03;-1,18
Estancia media;2002M02;-1,84
Estancia media;2002M01;1,12
Estancia media;2001M12;1,38
Estancia media;2001M11;1,33
Estancia media;2001M10;-0,81
Estancia media;2001M09;1,9
Estancia media;2001M08;-0,32
Estancia media;2001M07;1,19
Estancia media;2001M06;-2,58
Estancia media;2001M05;-1,12
Estancia media;2001M04;-0,48
Estancia media;2001M03;-2,2
Estancia media;2001M02;-1,11
Estancia media;2001M01;-3,63
Estancia media;2000M12;-3
Estancia media;2000M11;-3,3
Estancia media;2000M10;-3,3
Estancia media;2000M09;-1,8
Estancia media;2000M08;-2,3
Estancia media;2000M07;-0,6
Estancia media;2000M06;-0,5
Estancia media;2000M05;-2,1
Estancia media;2000M04;-4,8
Estancia media;2000M03;-0,1
Estancia media;2000M02;-5,4
Estancia media;2000M01;-6,7
Estancia media;1999M12;-0,5
Estancia media;1999M11;3,3
Estancia media;1999M10;3,5
Estancia media;1999M09;1,8
Estancia media;1999M08;-0,7
Estancia media;1999M07;-0,1
Estancia media;1999M06;0,8
Estancia media;1999M05;1,6
Estancia media;1999M04;6,5
Estancia media;1999M03;1,1
Estancia media;1999M02;2
Estancia media;1999M01;4,5
